,District(Khet),MapNr,Post-code,Thai,Popu-lation,No. ofSubdis-trictsKhwaeng,Latitude,Longitude
0,Bang Bon,50,10150,บางบอน,105161,4,13.6592,100.3991
1,Bang Kapi,6,10240,บางกะปิ,148465,2,13.765833,100.647778
2,Bang Khae,40,10160,บางแค,191781,4,13.696111,100.409444
3,Bang Khen,5,10220,บางเขน,189539,2,13.873889,100.596389
4,Bang Kho Laem,31,10120,บางคอแหลม,94956,3,13.693333,100.5025
5,Bang Khun Thian,21,10150,บางขุนเทียน,165491,2,13.660833,100.435833
6,Bang Na,47,10260,บางนา,95912,2,13.680081,100.5918
7,Bang Phlat,25,10700,บางพลัด,99273,4,13.793889,100.505
8,Bang Rak,4,10500,บางรัก,45875,5,13.730833,100.524167
9,Bang Sue,29,10800,บางซื่อ,132234,2,13.809722,100.537222
10,Bangkok Noi,20,10700,บางกอกน้อย,117793,5,13.770867,100.467933
11,Bangkok Yai,16,10600,บางกอกใหญ่,72321,2,13.722778,100.476389
12,Bueng Kum,27,10240,บึงกุ่ม,145830,3,13.785278,100.669167
13,Chatuchak,30,10900,จตุจักร,160906,5,13.828611,100.559722
14,Chom Thong,35,10150,จอมทอง,158005,4,13.677222,100.484722
15,Din Daeng,26,10400,ดินแดง,130220,2,13.769722,100.552778
16,Don Mueang,36,10210,ดอนเมือง,166261,3,13.913611,100.589722
17,Dusit,2,10300,ดุสิต,107655,5,13.776944,100.520556
18,Huai Khwang,17,10310,ห้วยขวาง,78175,3,13.776667,100.579444
19,Khan Na Yao,43,10230,คันนายาว,88678,2,13.8271,100.6743
20,Khlong Sam Wa,46,10510,คลองสามวา,169489,5,13.859722,100.704167
21,Khlong San,18,10600,คลองสาน,76446,4,13.730278,100.509722
22,Khlong Toei,33,10110,คลองเตย,109041,3,13.708056,100.583889
23,Lak Si,41,10210,หลักสี่,109770,2,13.8875,100.578889
24,Lat Krabang,11,10520,ลาดกระบัง,163175,6,13.722317,100.759669
25,Lat Phrao,38,10230,ลาดพร้าว,122182,2,13.803611,100.6075
26,Min Buri,10,10510,มีนบุรี,137251,2,13.813889,100.748056
27,Nong Chok,3,10530,หนองจอก,157138,8,13.855556,100.8625
28,Nong Khaem,23,10160,หนองแขม,150218,2,13.704722,100.348889
29,Pathum Wan,7,10330,ปทุมวัน,53263,4,13.744942,100.5222
30,Phasi Charoen,22,10160,ภาษีเจริญ,129827,7,13.714722,100.437222
31,Phaya Thai,14,10400,พญาไท,72952,2,13.78,100.542778
32,Phra Khanong,9,10260,พระโขนง,93482,2,13.702222,100.601667
33,Phra Nakhon,1,10200,พระนคร,57876,12,13.764444,100.499167
34,Pom Prap Sattru Phai,8,10100,ป้อมปราบศัตรูพ่าย,51006,5,13.758056,100.513056
35,Prawet,32,10250,ประเวศ,160671,3,13.716944,100.694444
36,Rat Burana,24,10140,ราษฏร์บูรณะ,86695,2,13.682222,100.505556
37,Ratchathewi,37,10400,ราชเทวี,73035,4,13.758889,100.534444
38,Sai Mai,42,10220,สายไหม,188123,3,13.919167,100.645833
39,Samphanthawong,13,10100,สัมพันธวงศ์,27452,3,13.731389,100.514167
40,Saphan Sung,44,10240,สะพานสูง,89825,3,13.77,100.684722
41,Sathon,28,10120,สาทร,84916,3,13.708056,100.526389
42,Suan Luang,34,10250,สวนหลวง,115658,3,13.730278,100.651389
43,Taling Chan,19,10170,ตลิ่งชัน,106604,6,13.776944,100.456667
44,Thawi Watthana,48,10170,ทวีวัฒนา,76351,2,13.7878,100.3638
45,Thon Buri,15,10600,ธนบุรี,119708,7,13.725,100.485833
46,Thung Khru,49,10140,ทุ่งครุ,116473,2,13.6472,100.4958
47,Wang Thonglang,45,10310,วังทองหลาง,114768,4,13.7864,100.6087
48,Watthana,39,10110,วัฒนา,81623,3,13.742222,100.585833
49,Yan Nawa,12,10120,ยานนาวา,81521,2,13.696944,100.543056
